Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Алексюк,Євген,Васильович,Чоловік,1981-08-14,Ді-джей,місто Винники,"провулок Вільгельма Габсбурга, буд. 1, Родинське, 81863",+380 45 730-57-73,yievtushok@ukr.net
Мамчур,Орест,Валентинович,Чоловік,1964-09-27,Шериф,місто Борислав,"сквер Партизанської слави, буд. 8, Чернівці, 73399",464 31 80,kkolisnychenko@gmail.com
Корж,Мартин,Григорович,Чоловік,1993-09-14,Гінеколог,місто Татарбунари,"проспект Абрикосова, буд. 49 кв. 3, Полонне, 89583",047 654 34 01,mvasylevych@ukr.net
Удовиченко,Одарка,Сергіївна,Жінка,1970-02-26,Астрофізик,місто Христинівка,"провулок Професора Каришковського, буд. 15 кв. 54, Старобільськ, 06671",+380 86 199 64 91,solomonabramenko@gmail.com
Комар,Едита,Олександрівна,Жінка,1957-07-29,Мовознавець,село Алмазна,"узвіз Панаса Мирного, буд. 86, Макіївка, 59321",029 041-45-20,adam76@gmail.com
Лукаш,Мілена,Зіновіївна,Жінка,1958-03-12,Музичний редактор,село Золотоноша,"парк Деревообробний 4-й, буд. 69 кв. 53, Моршин, 61851",+380 (23) 762-70-51,zlatoslava03@ukr.net
Фоменко,Мартин,Григорович,Чоловік,2002-08-23,Акушер,місто Рівне,"провулок Цесевича, буд. 80 кв. 9, Бар, 37758",049 989-53-41,liubovsavenko@gmail.com
Гавришкевич,Ярина,Михайлівна,Жінка,1968-06-11,Дантист,місто Шахтарське,"парк Супутників, буд. 371, Малин, 88761",+380 90 997-12-98,sviatoslava01@ukr.net
Зінкевич,Аркадій,Ігорович,Чоловік,1974-08-14,Мовознавець,селище Почаїв,"провулок Житомирська, буд. 81, Тростянець, 86226",+380 49 061 25 03,myron42@ukr.net
Іщенко,Олесь,Васильович,Чоловік,1984-01-05,Реабілітолог,селище Прип'ять,"набережна Василя Кандинського 2-й, буд. 9, Шахтарськ, 09581",+380 20 689 30 62,albertdeineka@gmail.com
Заїка,Еріка,Михайлівна,Жінка,1974-11-06,Електромонтер,місто Вознесенівка,"площа Валерія Самофалова, буд. 722 кв. 599, Галич, 13065",+380 (57) 275-25-81,vkarpenko@ukr.net
Симоненко,Дарина,Дмитрівна,Жінка,1977-10-07,Ботанік,місто Південне,"парк Студентський 1-й, буд. 675, Новоселиця, 50007",+380 53 419 93 47,oryna58@gmail.com
Забашта,Теодор,Михайлович,Чоловік,1938-01-26,Візажист,селище Почаїв,"провулок Ніжинська, буд. 136 кв. 69, Соснівка, 50696",+380 53 153-55-34,chuprynamariana@ukr.net
Василашко,Герман,Вікторович,Чоловік,1955-02-06,Епідеміолог,селище Батурин,"шосе Трудова, буд. 941, Підгайці, 59955",+380 (32) 157-91-60,zlatoslavabaklan@gmail.com
Єрмоленко,Данило,Максимович,Чоловік,1992-03-22,Дипломат,селище Ланівці,"провулок Льва Симиренка, буд. 5, Попасна, 95266",996 15 18,shvaikaokseniia@ukr.net
Шиян,Євген,Сергійович,Чоловік,1957-02-22,Геофізик,село Авдіївка,"парк Багринова, буд. 3 кв. 55, Іловайськ, 02156",+380 98 299-22-44,iaryna01@gmail.com
Александренко,Давид,Сергійович,Чоловік,1966-06-30,Кур'єр,місто Борислав,"сквер Озерна, буд. 50, Щастя, 13464",098 074-49-60,xtryhub@ukr.net
Петренко,Пилип,Ярославович,Чоловік,1993-03-08,Гірничий інженер,місто Копичинці,"парк Совіньйонівський, буд. 63, Святогірськ, 79176",+380 57 452-62-46,vasyl92@gmail.com
Бараник,Назар,Андрійович,Чоловік,1964-12-30,Каскадер,селище Вишневе,"шосе Тополина, буд. 2 кв. 3, Ківерці, 03732",+380 82 778 01 47,parmen23@gmail.com
Зайченко,Мілена,Володимирівна,Жінка,1950-12-17,Дерун,селище Бучач,"шосе Купріна, буд. 1, Стрий, 34550",+380 61 116 58 43,ostap29@gmail.com
Андріїшин,Гордій,Андрійович,Чоловік,1996-08-11,Складальник,село Мала Виска,"шосе Дюківська, буд. 339 кв. 255, Балаклія, 98506",+380 50 620-79-20,leopold67@ukr.net
Охримович,Вʼячеслав,Вікторович,Чоловік,1997-04-19,Астроном,село Корсунь-Шевченківський,"площа Володимира Вінниченка, буд. 77 кв. 49, Свалява, 80362",004 81 49,vasylyna97@gmail.com
Щербань,Тимофій,Зіновійович,Чоловік,1952-01-30,Соціолог,селище Новояворівськ,"набережна Ярморочна площа, буд. 574, Ніжин, 99164",+380 86 812-82-93,dantokar@gmail.com
Ярема,Варвара,Тимофіївна,Жінка,1979-12-25,Скульптор,село Євпаторія,"набережна Іспанська, буд. 62 кв. 1, Олешки, 76535",077 380 92 97,stanislavbaturynets@gmail.com
Василенко,Олександр,Ігорович,Чоловік,1959-06-30,Ветеринар,село Василівка,"площа Майстерний, буд. 4 кв. 4, Гуляйполе, 79803",+380 53 410 00 01,dmytrosych@gmail.com
Пушкар,Марія,Валентинівна,Жінка,1982-04-17,Пілот,село Кодима,"парк Сергія Ейзенштейна, буд. 770 кв. 0, Чугуїв, 69959",+380 66 932-14-35,martyn26@gmail.com
Габелко,Вʼячеслав,Олегович,Чоловік,1946-07-29,Кур'єр,місто Прилуки,"шосе Академіка Філатова, буд. 6 кв. 394, Чистякове, 44194",+380 42 212-92-95,hkarmaliuk@gmail.com
Романенко,Орхип,Антонович,Чоловік,1942-01-25,Намотувальник,селище Ічня,"шосе Ширяївський, буд. 1, Немирів, 61273",+380 (10) 839-61-25,jvelychko@gmail.com
Акименко,Микита,Дмитрович,Чоловік,1957-01-16,Економіст,селище Немирів,"сквер Банний, буд. 6 кв. 828, Жидачів, 17373",755 05 67,vasylprokopovych@gmail.com
Сірко,Клавдія,Андріївна,Жінка,1958-09-21,Правник,село Очаків,"сквер Кримський, буд. 005, Вознесенськ, 62686",075 209-35-73,dannailienko@ukr.net
Бандурка,Аніта,Володимирівна,Жінка,2005-06-20,Флорист,село Миколаївка,"набережна Шевченка парк, буд. 56 кв. 45, Перемишляни, 81533",+380 62 186-37-57,skyrdamarko@gmail.com
Вахній,Богданна,Антонівна,Жінка,1954-11-26,Фізик,селище Новоукраїнка,"парк Лінія 46-та, буд. 0, Новоазовськ, 51261",081 382-21-33,boryslavvertyporokh@gmail.com
Дробʼязко,Дан,Дмитрович,Чоловік,1964-11-27,Будник,селище Алчевськ,"провулок Марка Крейна, буд. 848, Іловайськ, 24319",046 976-78-93,rzatula@ukr.net
Василевич,Прохір,Дмитрович,Чоловік,1969-03-23,Дантист,село Тетіїв,"сквер Соціальна, буд. 30, Багачеве, 51506",+380 42 742-22-09,oryna97@ukr.net
Ємельяненко,Яків,Олегович,Чоловік,1968-02-05,Шериф,місто Лебедин,"вулиця Аеропортівський 1-й, буд. 188 кв. 00, Хирів, 85795",+380 60 562 73 76,tereshchuksviatoslav@gmail.com
Гузенко,Веніямин,Григорович,Чоловік,1972-01-12,Модель,село Зіньків,"вулиця Кавказький, буд. 788, Знам'янка, 46508",065 562-93-99,tereza26@gmail.com
Дрозд,Розалія,Романівна,Жінка,1989-04-30,Композитор,місто Ківерці,"набережна Ф. Пішеніна, буд. 38, Білогірськ, 29138",030 525 31 19,valeriihodunok@gmail.com
Романець,Вікторія,Вікторівна,Жінка,1972-01-19,Філолог,селище Копичинці,"проспект Херсонський, буд. 65 кв. 9, Авдіївка, 33474",+380 43 279-42-90,amvrosii68@ukr.net
Дурдинець,Климент,Сергійович,Чоловік,2002-06-19,Геолог,село Ясинувата,"шосе Скліфосовського, буд. 457, Ужгород, 43670",+380 (27) 897-07-88,deinekanadiia@gmail.com
Безбородько,Мирон,Дмитрович,Чоловік,2005-12-08,Ґрунтознавець,селище Іллінці,"узвіз Аеропортівський 6-й, буд. 648, Свалява, 08575",951-60-54,tshcherban@ukr.net
Пушкар,Антон,Михайлович,Чоловік,1972-07-10,Філолог,селище Бучач,"провулок Дубова, буд. 68 кв. 875, Бунге, 30043",+380 (59) 219-73-05,kolesnychenkoazar@ukr.net
Матвієнко,Галина,Олегівна,Жінка,1970-01-04,Хореограф,село Хрустальний,"вулиця Прохоровський, буд. 684, Красноперекопськ, 31289",+380 64 089-27-06,eduard81@gmail.com
Христич,Надія,Михайлівна,Жінка,1979-10-10,Флорист,місто Жданівка,"провулок Чорноморський 6-й, буд. 74, Теплодар, 73729",+380 64 766-72-02,bkopytko@gmail.com
Годунок,Варфоломій,Григорович,Чоловік,1995-02-23,Підприємець,селище Шаргород,"набережна Північна, буд. 6, Святогірськ, 41296",021 884 81 73,orest51@gmail.com
Чаленко,Леопольд,Ярославович,Чоловік,1997-07-23,Медик,село Берестин,"набережна Мусіна, буд. 7 кв. 7, Таврійськ, 89199",+380 13 028-75-09,anzhelavelychko@ukr.net
Калениченко,Ганна,Петрівна,Жінка,1947-10-27,Музикознавець,селище Інкерман,"сквер Аркадіївський, буд. 18 кв. 507, Шаргород, 15813",047 937-67-96,mshvachko@gmail.com
Устенко,Ольга,Олександрівна,Жінка,1949-11-02,Астроном,місто Ізмаїл,"парк Полуничний, буд. 43 кв. 0, Миколаївка, 63057",+380 18 479 81 05,amykytiuk@gmail.com
Килимник,Пантелеймон,Іванович,Чоловік,1989-02-17,Євнух,село Торецьк,"шосе Проектуєма, буд. 5, Кам'янське, 93965",004 795-87-59,chalyiiarema@gmail.com
Тимченко,Олекса,Іванович,Чоловік,1946-03-04,Фермер,місто Прип'ять,"сквер Республіканська, буд. 738, Чортків, 65299",+380 65 143 93 98,zabashtasvitlana@ukr.net
Щириця,Іван,Романович,Чоловік,1986-08-20,Ріелтор,село Рубіжне,"проспект Локомотивна, буд. 897, Хорол, 38852",+380 79 980 61 26,dubynaopanas@gmail.com
Худяк,Ілля,Зіновійович,Чоловік,1950-05-17,Стиліст,місто Євпаторія,"провулок Керченська, буд. 7 кв. 087, Олександрівськ, 11529",+380 57 963-40-80,tsisykzlatoslava@ukr.net
Рудик,Лукʼян,Володимирович,Чоловік,1957-09-04,Гицель,селище Чуднів,"сквер Сирітський 2-й, буд. 46, Павлоград, 98864",030-66-02,taras05@gmail.com
Дрозд,Єфрем,Вікторович,Чоловік,1954-06-21,Петрограф,селище Корець,"парк 8-ма Лінія Дачі Ковалевського, буд. 27 кв. 996, Знам'янка, 92037",+380 63 134-07-98,sdziuba@gmail.com
Матяш,Галина,Петрівна,Жінка,2003-11-17,Актор,село Мала Виска,"сквер Флотський 4-й, буд. 2, Антрацит, 69483",+380 (12) 607-07-40,sviatoslavaokhrymovych@gmail.com
Бгиденко,Пармен,Антонович,Чоловік,1971-01-09,Педагог,селище Турка,"набережна Панаса Саксаганського, буд. 4, Вугледар, 48738",+380 44 227-71-18,sandriichuk@gmail.com
Палій,Прохір,Валентинович,Чоловік,1973-03-10,Електромонтер,місто Бучач,"провулок Проїзний 1-й, буд. 506 кв. 21, Зміїв, 82176",+380 65 504 01 26,irynaandroshchuk@gmail.com
Парасюк,Вікторія,Ярославівна,Жінка,2008-06-04,Маркетолог,селище Володимир-Волинський,"вулиця Севастопольський, буд. 84, Миргород, 99042",730-27-54,vitalii45@ukr.net
Ващенко-Захарченко,Максим,Андрійович,Чоловік,1993-11-18,Музикознавець,село Біла Церква,"проспект Лінія 43-тя, буд. 55, Житомир, 98649",973 70 17,olehmiroshnychenko@ukr.net
Яремко,Анастасія,Олександрівна,Жінка,1998-05-19,Вчитель,селище Валки,"площа Нескучна, буд. 5, Амвросіївка, 59963",+380 05 280 52 39,xabramchuk@ukr.net
Лубенець,Софія,Олегівна,Жінка,1963-11-14,Детектив,село Нова Одеса,"сквер 14-та ст. Великого Фонтану пляж, буд. 1, Борзна, 11590",+380 63 458-30-84,hsamoilenko@ukr.net
Лазаренко,Аніта,Антонівна,Жінка,1956-01-19,Золотар,селище Гребінка,"вулиця Прилуцький, буд. 564, Новодружеськ, 59941",097 339 19 39,iefremvovk@gmail.com
Шовкопляс,Остап,Іванович,Чоловік,1958-12-07,Фермер,селище Мелітополь,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 21, Вознесенівка, 63835",009 518-18-08,ruslan29@ukr.net
Баран,Ганна,Олегівна,Жінка,1946-10-29,Різноробочий,селище Часів Яр,"шосе Ганни Ахматової, буд. 74, Добромиль, 12506",+380 92 928 90 67,ivanchenkomartyn@ukr.net
Якимчук,Геннадій,Володимирович,Чоловік,1994-04-24,Геолог,селище Гірське,"площа Василя Кандинського 1-й, буд. 7 кв. 095, Славута, 58459",223 64 64,stefan98@gmail.com
Дзиндра,Маруся,Григорівна,Жінка,1981-07-15,Бібліотекар,селище Новодружеськ,"парк Вчительської, 2-й, буд. 04 кв. 46, Середина-Буда, 32291",+380 22 842-44-50,halynababiuk@ukr.net
Вишиваний,Едуард,Дмитрович,Чоловік,1938-03-11,Правник,село Шептицький,"вулиця Сєрогодського, буд. 9, Токмак, 46552",742-25-74,jtsarenko@gmail.com
Калениченко,Соломія,Ігорівна,Жінка,1965-03-20,Каскадер,село Бердичів,"узвіз Чорноморський 13-й, буд. 036 кв. 771, Вашківці, 06532",+380 56 313 68 72,anitababiuk@ukr.net
Гриценко,Ігор,Григорович,Чоловік,1938-04-04,Бібліограф,місто Родинське,"парк Супутників, буд. 1 кв. 3, Підгородне, 41800",014 548 03 62,borys25@ukr.net
Дрозд,Клавдія,Зіновіївна,Жінка,1964-05-17,Парфюмер,село Конотоп,"площа 2-га Лінія 4-ї ст. Люстдорфської дороги, буд. 9, Боково-Хрустальне, 95176",+380 12 585-71-96,myroslavriabets@gmail.com
Дробаха,Ганна,Максимівна,Жінка,1988-02-22,Кіноактор,селище Хирів,"парк Одеський, буд. 374 кв. 285, Жашків, 25548",+380 58 699-08-66,larysa99@ukr.net
Гук,Мілена,Сергіївна,Жінка,1991-10-22,Продюсер,місто Енергодар,"площа Людмили Гінзбург, буд. 28, Прип'ять, 36620",+380 49 624-55-75,gkovaliuk@gmail.com
Андрусенко,Ілля,Максимович,Чоловік,1972-11-16,Сантехнік,село Білгород-Дністровський,"узвіз Менделе Сфоріма, буд. 4 кв. 732, Івано-Франківськ, 81369",+380 87 866-87-15,varfolomii50@ukr.net
Корж,Герман,Максимович,Чоловік,2007-04-27,Золотар,місто Вараш,"вулиця Ювілейний 2-й, буд. 97 кв. 020, Заводське, 02539",072 401 23 34,bohuslava78@gmail.com
Овсієнко,Мартин,Михайлович,Чоловік,1967-04-10,Електромонтажник,селище Кропивницький,"вулиця Лиманчик 2-й Лінія 5-та, буд. 72 кв. 68, Нетішин, 15265",+380 78 161-00-26,rozaliia90@ukr.net
Барабаш,Аврелій,Михайлович,Чоловік,2000-07-18,Льотчик,село Докучаєвськ,"вулиця Килимовий, буд. 87 кв. 7, Міусинськ, 12229",+380 02 241-00-67,opanas58@gmail.com
Височан,Вікторія,Вікторівна,Жінка,1946-10-27,Ювелір,місто Часів Яр,"шосе Вишнева, буд. 690 кв. 53, Галич, 07905",060 391-01-86,zlatoslava98@gmail.com
Рябченко,Марко,Володимирович,Чоловік,1960-01-10,Патологоанатом,село Белз,"сквер Складська, буд. 2 кв. 2, Новодружеськ, 69594",+380 67 105-05-28,anastasiiasachenko@gmail.com
Стець,Дан,Валентинович,Чоловік,1957-12-23,Фермер,селище Богодухів,"провулок Юхима Фесенка, буд. 6, Яворів, 23500",+380 94 702 55 99,mykyta00@gmail.com
Власенко,Феофан,Андрійович,Чоловік,1986-07-04,Письменник,селище Угнів,"сквер Князя Ярослава Мудрого, буд. 24 кв. 4, Сокаль, 76502",+380 97 619 92 84,roksolanapylypenko@gmail.com
Москаль,Лілія,Ярославівна,Жінка,2006-01-20,Електромонтер,місто Ланівці,"парк Соляна, буд. 86 кв. 249, Канів, 60702",+380 16 542-93-61,geretaanzhela@ukr.net
Андрієвич,Адам,Вікторович,Чоловік,1945-11-24,Маркетолог,селище Стрий,"парк Училищна, буд. 044, Зеленодольськ, 03802",083 527 56 31,harsenych@gmail.com
Каденюк,Юхим,Іванович,Чоловік,1972-09-15,Няня,село Шаргород,"вулиця Чубаївська, буд. 840, Сорокине, 33310",001 737-86-22,yiaremko@gmail.com
Лемешко,Нестор,Андрійович,Чоловік,1953-04-22,Стропальник,місто Новий Розділ,"узвіз Балківська, буд. 8 кв. 8, Південне, 33435",047 634-96-07,liliiaperepelytsia@ukr.net
Бебешко,Олекса,Іванович,Чоловік,1944-01-21,Підприємець,місто Кипуче,"шосе Садовського, буд. 131, Горішні Плавні, 87045",+380 27 935 08 92,suprunenkofrants@ukr.net
Дубина,Семен,Ігорович,Чоловік,1943-12-16,Хімік,селище Березне,"набережна Хаджибейський, буд. 160, Хирів, 73456",059 017 61 17,fastenkodan@ukr.net
Демиденко,Данна,Олександрівна,Жінка,1965-11-14,Будник,селище Моспине,"парк Творча, буд. 232, Фастів, 83793",+380 95 659-43-31,viktoriia83@ukr.net
Артеменко,Тарас,Вікторович,Чоловік,1988-01-26,Електромонтер,місто Бровари,"узвіз Богдана Хмельницького, буд. 00 кв. 730, Радомишль, 23443",023 426 21 89,ikorbut@ukr.net
Івасюк,Володимир,Петрович,Чоловік,1970-01-07,Круп'є,село Деражня,"узвіз Василя Кандинського, буд. 7 кв. 11, Шаргород, 41209",+380 63 408-43-60,romanchukalbina@gmail.com
Шевченко,Людмила,Іванівна,Жінка,1950-05-08,Реставратор,місто Мирноград,"парк Квіткова, буд. 380, Збараж, 02526",054 138 13 06,bohodarhres@ukr.net
Іщенко,Тетяна,Михайлівна,Жінка,1998-02-16,Економіст,місто Хирів,"проспект Ромашкова, буд. 338, Перевальськ, 94953",359 91 20,fedirumanets@ukr.net
Шморгун,Вікторія,Андріївна,Жінка,1942-01-22,Візажист,село Рогатин,"площа Дукова, буд. 6, Кремінна, 88961",033 852 40 68,tsushkosolomiia@ukr.net
Фастенко,Назар,Ігорович,Чоловік,2004-10-11,Етнограф,село Хрустальний,"узвіз Наявний 6-й, буд. 926, Кам'янець-Подільський, 57711",+380 80 084-03-60,qzabarnyi@ukr.net
Сиротенко,Гаврило,Олександрович,Чоловік,1976-12-12,Намотувальник,селище Єнакієве,"вулиця Цимлянська, буд. 809, Нетішин, 89138",097 643 16 75,zhavrylyshyna@gmail.com
Цюпа,Емілія,Тимофіївна,Жінка,1998-10-16,Головний меркшейдер,село Чорноморськ,"вулиця Кордонна, буд. 81, Вільногірськ, 79532",018 520 13 92,zprykhodko@gmail.com
Юрчук,Владислав,Михайлович,Чоловік,1978-06-02,Модель,місто Лебедин,"вулиця Сміливий, буд. 56, Канів, 01292",+380 30 378-89-53,lizatovstukha@ukr.net
Талан,Альбіна,Тимофіївна,Жінка,1982-04-17,Кухар,селище Болград,"парк Багрицького, буд. 792, Старий Самбір, 10303",+380 09 392-89-49,anzhelashcherbak@gmail.com
Сірко,Григорій,Вікторович,Чоловік,1978-09-01,Фрілансер,селище Мостиська,"проспект Торгова, буд. 0 кв. 1, Апостолове, 66720",456-49-54,svyrydenkozlatoslava@ukr.net
Симоненко,Богуслав,Ярославович,Чоловік,1987-08-30,Гінеколог,місто Ізюм,"узвіз Косий, буд. 2, Щастя, 45879",+380 67 695-11-71,ivashchenkooryna@gmail.com
Девдюк,Гліб,Максимович,Чоловік,2005-12-03,Кушнір,селище Шаргород,"парк Шостої 1-й, буд. 47, Залізне, 11841",077 118 24 28,sirkoivan@gmail.com
Дуплій,Тимофій,Андрійович,Чоловік,1971-05-19,Правник,село Новгород-Сіверський,"набережна Наявний 6-й, буд. 1, Волноваха, 47475",+380 49 496-20-45,mariana79@ukr.net
Гунько,Роксолана,Зіновіївна,Жінка,1963-10-17,Локсмайстер,селище Радивилів,"набережна Міцкевича, буд. 831 кв. 4, Черкаси, 24320",+380 36 590 48 69,prokhirkarmaliuk@ukr.net
Шеремета,Анжела,Олегівна,Жінка,1959-07-11,Астроном,місто Соснівка,"набережна Штурвальна, буд. 3 кв. 64, Городище, 45592",960 27 77,olenaromanenko@ukr.net
Рудик,Аніта,Дмитрівна,Жінка,1952-03-29,Адвокат,місто Вугледар,"парк Кришталевий, буд. 328, Українка, 56761",506-21-96,iaroslava76@gmail.com
Дубенко,Аарон,Сергійович,Чоловік,1991-02-18,Локсмайстер,село Берестин,"набережна Ланжеронівський узвіз, буд. 86 кв. 7, Герца, 95939",041 542 31 73,danna98@gmail.com
Абрагамовський,Лариса,Андріївна,Жінка,1970-12-18,Фрілансер,місто Хирів,"набережна Кар’єрна, буд. 3, Городня, 12715",+380 98 686-19-66,iukhymhavryshkevych@ukr.net
Проценко,Мілена,Ярославівна,Жінка,1946-06-30,Фольклорист,село Брянка,"набережна Лиманчик 2-й Лінія 9-та, буд. 470 кв. 459, Устилуг, 17548",796 71 83,xshelest@gmail.com
Карпа,Леонтій,Ігорович,Чоловік,1998-07-17,Маркетолог,селище Гадяч,"проспект Прохоровський, буд. 4, Ясинувата, 84651",025 216 12 75,iaremazinkevych@gmail.com
Охримович,Любов,Романівна,Жінка,1974-05-21,Антрополог,село Камінь-Каширський,"сквер Молоді, буд. 6 кв. 870, Волноваха, 62410",+380 (57) 237-14-11,zhrytsenko@gmail.com
Карпенко,Трохим,Ігорович,Чоловік,1964-10-21,Фізик,селище Борщів,"набережна Лінія 31-ша, буд. 23 кв. 71, Рожище, 10661",666 25 39,hennadii39@ukr.net
Доценко,Лілія,Романівна,Жінка,1996-09-24,Професор,село Шахтарськ,"площа Молокова, буд. 145, Березівка, 40190",+380 (04) 510-12-58,viacheslavpetryk@ukr.net
Тригуб,Феофан,Антонович,Чоловік,1974-04-12,Живописець,село Березівка,"узвіз Балтський 7-й, буд. 864, Южне, 71940",+380 11 614-92-37,vdovenkolukian@gmail.com
Тригуб,Миколай,Григорович,Чоловік,1966-09-12,Фізик,село Вознесенськ,"проспект Щоголєва, буд. 40, Нова Одеса, 39571",043 367-39-55,avreliiprotsenko@gmail.com
Акименко,Ярослава,Антонівна,Жінка,2002-09-23,Графік,село Зеленодольськ,"вулиця 17-та Лінія 6-й ст. Люстдорфської дороги, буд. 057 кв. 419, Городенка, 39897",054-25-21,babychenkoborys@ukr.net
Штокало,Варфоломій,Зіновійович,Чоловік,1949-07-04,Гірничий інженер,село Ясинувата,"площа Лінія 55-та, буд. 42, Алмазна, 59915",736-56-75,ievdokymenkoborys@ukr.net
Лупій,Михайло,Андрійович,Чоловік,1975-10-22,Ботанік,селище Іршава,"провулок Спиридонівська, буд. 059 кв. 2, Тисмениця, 37414",+380 26 894 94 80,cpetrenko@ukr.net
Євтушок,Пантелеймон,Олегович,Чоловік,1952-07-25,Клавішник,селище Жашків,"шосе Тиха, буд. 817 кв. 5, Соснівка, 16933",113-26-72,leopold58@gmail.com
Лупій,Єлисавета,Василівна,Жінка,1949-06-19,Бізнесмен,місто Кривий Ріг,"площа Рабіна Іцхака, буд. 495, Сніжне, 95322",+380 26 194 51 34,amaliiasyrotenko@ukr.net
Юхименко,Дан,Михайлович,Чоловік,1947-08-25,Бухгалтер,місто Чигирин,"проспект Панаса Мирного, буд. 86 кв. 577, Мар'їнка, 98913",059-91-06,fmalyshko@gmail.com
Данилюк,Лілія,Іванівна,Жінка,1966-06-25,Гірничий інженер,місто Зоринськ,"площа Український 2-й, буд. 2 кв. 77, Роздільна, 18686",+380 31 744 46 59,jshvachka@ukr.net
Ващук,Валерій,Дмитрович,Чоловік,2005-11-08,Бізнесмен,місто Суми,"узвіз Спортивний, буд. 685, Старий Крим, 98427",797 80 04,iefremzaichenko@ukr.net
Демʼянюк,Пармен,Григорович,Чоловік,1976-05-27,Електромонтажник,місто Радехів,"шосе Виноградна 1-ша, буд. 107 кв. 2, Шостка, 42744",011 276 48 67,vakarchukviacheslav@gmail.com
Ґерета,Йосип,Максимович,Чоловік,1938-05-18,Детектив,селище Конотоп,"шосе Варненська, буд. 363 кв. 0, Андрушівка, 93460",431 90 02,arkadii39@gmail.com
Каденюк,Вікторія,Тимофіївна,Жінка,1960-11-08,Музикант,місто Київ,"сквер Восьмого березня 1-й, буд. 10, Заводське, 73896",+380 (28) 573-06-91,pzinchenko@ukr.net
Давимука,Марія,Михайлівна,Жінка,1962-12-03,Скульптор,село Іллінці,"площа Андрія Музичка, буд. 768, Рахів, 99664",791-29-65,alevtynbarabash@gmail.com
Романчук,Клавдія,Ярославівна,Жінка,1948-11-29,Менеджер,село Красилів,"площа Литовська, буд. 6 кв. 39, Подільськ, 06161",051 498-98-26,valentynasavenko@ukr.net
Литвиненко,Геннадій,Володимирович,Чоловік,1981-07-09,Різноробочий,селище Нова Каховка,"парк Тарутинська, буд. 906 кв. 3, Монастирище, 14163",+380 67 291 17 90,hrytsenkoostap@ukr.net
Бабко,Феофан,Ігорович,Чоловік,1955-03-13,Ріелтор,місто Миколаїв,"площа Стельмаха, буд. 94, Ржищів, 56292",+380 22 301 04 92,zrubets@ukr.net
Макогон,Болеслав,Іванович,Чоловік,1971-08-21,Няня,місто Старокостянтинів,"парк Локомотивний 3-й, буд. 816 кв. 15, Українськ, 71359",+380 35 119-59-71,martaprokopovych@gmail.com
Дараган,Оксана,Романівна,Жінка,1964-05-14,Кінорежисер,село Березань,"сквер Скліфосовського, буд. 838 кв. 215, Шумськ, 08034",+380 48 065-69-80,vladyslavkolisnychenko@ukr.net
Деревʼянко,Миколай,Олегович,Чоловік,1985-10-27,Кінорежисер,місто Гірське,"площа Князя Володимира Великого , буд. 43 кв. 7, Андрушівка, 33173",+380 71 767-48-99,mbandura@ukr.net
Голобородько,Володимира,Михайлівна,Жінка,1969-08-26,Локсмайстер,село Турка,"шосе Венгера, буд. 715, Ніжин, 73013",082 031 20 01,tymchenkodaryna@gmail.com
Гузій,Юстим,Ігорович,Чоловік,1975-01-06,Головний меркшейдер,місто Бібрка,"парк Лінія 40-ва, буд. 647 кв. 1, Вільнянськ, 14607",+380 91 674-99-16,kandriievych@gmail.com
Лагода,Дарина,Григорівна,Жінка,1963-03-20,Євнух,місто Охтирка,"парк Олександрійський, буд. 93 кв. 5, Василівка, 50532",+380 (42) 813-41-48,ciurchuk@gmail.com
Савенко,Йосип,Олегович,Чоловік,1982-11-21,Кінорежисер,село Березне,"площа Маланова, буд. 59, Кролевець, 28171",+380 39 513-25-51,demydpetrenko@ukr.net
Гайденко,Орест,Петрович,Чоловік,1950-08-27,Ріелтор,село Галич,"сквер Бузковий 1-й, буд. 2, Лохвиця, 49661",069 610 28 22,albert85@ukr.net
Ґжицька,Ярослав,Андрійович,Чоловік,1997-01-19,Флорист,місто Арциз,"шосе Ананьївська, буд. 1 кв. 29, Кам'янка-Бузька, 18646",176-34-95,levkoieshchenko@gmail.com
Фартушняк,Макар,Валентинович,Чоловік,2006-11-01,Реабілітолог,селище Перещепине,"провулок Буковецького, буд. 30, Василівка, 80823",+380 18 477-93-09,lutsenkodemyd@ukr.net
Проценко,Хома,Іванович,Чоловік,1979-06-06,Співак,місто Світлодарськ,"площа Центральний аеропорт, буд. 1 кв. 8, Умань, 13343",+380 32 642-33-41,tereza43@gmail.com
Дзиндра,Ірена,Андріївна,Жінка,2006-06-04,Антрополог,село Сокологірськ,"провулок Слов'янська, буд. 36, Овруч, 10525",+380 19 623-66-77,khoma41@gmail.com
Ґереґа,Демʼян,Олександрович,Чоловік,1989-09-29,Фольклорист,місто Нова Каховка,"провулок Італійський, буд. 386, Судова Вишня, 27279",065 395-90-17,viakymchuk@gmail.com
Власюк,Алла,Олександрівна,Жінка,1952-05-20,Психолог,селище Борислав,"сквер Олексія Косяченко, буд. 52 кв. 305, Підгайці, 20938",033 985-50-97,khoma72@gmail.com
Дараган,Павло,Романович,Чоловік,1995-10-17,Вчитель,селище Єнакієве,"провулок Квітки-Основ’яненка, буд. 5, Білозерське, 84840",007 180-95-51,virabaidak@ukr.net
